,player,team,line,stat,league,date,event_time,time,prop_id
0,Julius Randle,CLE,9.0,TRB,7,2023-10-31 13:30:00-05:00,2023-10-31 13:30:00-05:00,2023-10-31 12:21:00,ac752063-8
1,Pierre-Luc Dubois,TOR,2.5,Shots On Goal,8,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,aab91ca5-4
2,Aryna Sabalenka,J. Pegula (WTA Finals),21.0,Total Games,5,2023-10-31 16:00:00-05:00,2023-10-31 16:00:00-05:00,2023-10-31 12:21:00,c8e21ffe-4
3,Andrew Heaney,ARI,3.0,Hits Allowed,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,9a83d99f-8
4,Marc Diakiese,Kaue Fernandes,2.0,Takedowns,12,2023-11-04 17:10:00-05:00,2023-11-04 17:10:00-05:00,2023-10-31 12:21:00,4a69b423-8
5,Andrew Heaney,ARI,3.0,Pitcher Strikeouts,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,61b51fe7-8
6,Jase Bauer,NIL,28.5,Rush Yards,15,2023-10-31 18:00:00-05:00,2023-10-31 18:00:00-05:00,2023-10-31 12:21:00,a461287e-4
7,Marc Diakiese,Kaue Fernandes,45.5,Significant Strikes,12,2023-11-04 17:10:00-05:00,2023-11-04 17:10:00-05:00,2023-10-31 12:21:00,94ae847c-e
8,Corey Seager,ARI,1.5,Total Bases,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,3a43abd8-d
9,Auston Matthews,LA,0.5,Goals,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,516dd60c-d
10,Jase Bauer,NIL,198.5,Pass Yards,15,2023-10-31 18:00:00-05:00,2023-10-31 18:00:00-05:00,2023-10-31 12:21:00,98e3193b-6
11,Donovan Mitchell + Julius Randle,NYK/CLE,52.5,Points (Combo),7,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,8e429dbe-3
12,Andrew Heaney,ARI,1.5,Earned Runs Allowed,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,3492a41c-4
13,Aryna Sabalenka,J. Pegula (WTA Finals),6.0,Aces,5,2023-10-31 16:00:00-05:00,2023-10-31 16:00:00-05:00,2023-10-31 12:21:00,d827618c-1
14,Corey Seager,ARI,7.5,Hitter Fantasy Score,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,9ffbfaef-3
15,RJ Barrett + Andrew Heaney,CLE/ARI,4.5,3-PT Made + Strikeouts,266,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,08e5593c-0
16,Auston Matthews + Kevin Durant,LA/SAS,6.5,Shots On Goal + 3-PT Made,266,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,4beb5d2a-8
17,Corey Seager + Victor Wembanyama,ARI/PHX,3.0,Total Bases + 3-PT Made,266,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,130f9be1-9
18,Cam Talbot + Joseph Woll,TOR/LA,55.5,Goalie Saves (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,34f97a7e-d
19,Corey Seager,ARI,0.5,Runs,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,176ed827-3
20,Kevin Fiala + John Tavares,TOR/LA,0.5,Goals (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,e0d317e5-7
