,player,team,line,stat,league,date,time
601,Lorenzo Montipo,Napoli,3.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
602,Piotr Zielinski,Verona,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
603,Jesper Lindstrom,Verona,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
604,Stanislav Lobotka,Verona,60.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
605,Cyril Ngonge,Napoli,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
606,Pascal Stenzel,Union Berlin,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
607,Exequiel Palacios,Wolfsburg,2.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
608,Jonas Wind,Leverkusen,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
609,Mattias Svanberg,Leverkusen,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
610,Alexander Nubel,Union Berlin,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
611,Kevin Behrens,Stuttgart,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
612,Dan-Axel Zagadou,Union Berlin,74.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
613,Tiago Tomas,Leverkusen,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
614,Lovro Majer,Leverkusen,1.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
615,Elijah Badger + J. Michael Sturdivant,WAS/STA,106.5,Receiving Yards (Combo),15,2023-10-21,2023-10-20 14:02:00
616,Alex Grimaldo,Wolfsburg,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
617,Cristian Gamboa,Freiburg,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
618,Josip Juranovic,Stuttgart,2.0,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
619,Frederik Ronnow,Stuttgart,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
620,Yussuf Poulsen,Darmstadt 98,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
621,Fares Chaibi,Hoffenheim,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
622,Josip Juranovic,Stuttgart,25.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
623,Ridle Baku,Leverkusen,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
624,Sheraldo Becker,Stuttgart,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
625,Maximilian Eggestein,Bochum,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
626,Lucas Holer,Bochum,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
627,Lukas Kubler,Bochum,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
628,Roland Sallai,Bochum,3.0,Shots,82,2023-10-21,2023-10-20 14:02:00
629,Vincenzo Grifo,Bochum,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
630,Victor Boniface,Wolfsburg,1.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
631,Robin Knoche,Stuttgart,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
632,Maxence Lacroix,Leverkusen,4.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
633,Robin Gosens,Stuttgart,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
634,Janik Haberer,Stuttgart,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
635,Wout Weghorst,Frankfurt,0.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
636,Robert Skov,Frankfurt,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
637,Ellyes Skhiri,Hoffenheim,50.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
638,Omar Marmoush,Hoffenheim,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
639,Tuta,Hoffenheim,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
640,Atakan Karazor,Union Berlin,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
641,Anthony Rouault,Union Berlin,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
642,Lukas Hradecky,Wolfsburg,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
643,Ritsu Doan,Bochum,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
644,Mario Gotze,Hoffenheim,1.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
645,Aurelio Buta,Hoffenheim,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
646,Maximilian Arnold,Leverkusen,44.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
647,Odilon Kossounou,Wolfsburg,62.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
648,Benjamin Henrichs,Darmstadt 98,2.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
649,Yussuf Poulsen,Darmstadt 98,0.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
650,Serhou Guirassy,Union Berlin,3.0,Shots,82,2023-10-21,2023-10-20 14:02:00
651,Omar Marmoush,Hoffenheim,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
652,Fares Chaibi,Hoffenheim,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
653,William Pacho,Hoffenheim,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
654,Robin Koch,Hoffenheim,4.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
655,Castello Lukeba,Darmstadt 98,2.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
656,Xaver Schlager,Darmstadt 98,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
657,Xaver Schlager,Darmstadt 98,2.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
658,Victor Boniface,Wolfsburg,4.0,Shots,82,2023-10-21,2023-10-20 14:02:00
659,Jonas Wind,Leverkusen,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
660,Kevin Stoger,Freiburg,50.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
661,Philipp Lienhart,Bochum,3.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
662,Manuel Riemann,Freiburg,3.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
663,Anthony Losilla,Freiburg,2.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
664,Kevin Stoger,Freiburg,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
665,Vincenzo Grifo,Bochum,2.0,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
666,Danilo Soares,Freiburg,0.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
667,Keven Schlotterbeck,Freiburg,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
668,Takuma Asano,Freiburg,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
669,Takuma Asano,Freiburg,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
670,Matthias Ginter,Bochum,54.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
671,Wout Weghorst,Frankfurt,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
672,Anton Stach,Frankfurt,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
673,Noah Atubolu,Bochum,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
674,Maximilian Beier,Frankfurt,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
675,Ridle Baku,Leverkusen,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
676,Emil Forsberg,Darmstadt 98,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
677,Lois Openda,Darmstadt 98,3.0,Shots,82,2023-10-21,2023-10-20 14:02:00
678,Xavi Simons,Darmstadt 98,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
679,Kevin Kampl,Darmstadt 98,69.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
680,John Anthony Brooks,Frankfurt,46.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
681,Kevin Akpoguma,Frankfurt,3.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
682,Wout Weghorst,Frankfurt,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
683,Kevin Trapp,Hoffenheim,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
684,Jonas Hofmann,Wolfsburg,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
685,Pavao Pervan,Leverkusen,3.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
686,Florian Grillitsch,Frankfurt,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
687,Robert Skov,Frankfurt,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
688,Oscarinin,BLG (MAP 1 Kills),1.5,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
689,Oliver Baumann,Frankfurt,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
690,Matej Maglica,Leipzig,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
691,Matthias Bader,Leipzig,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
692,Fabian Holland,Leipzig,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
693,Tim Skarke,Leipzig,0.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
694,Marcel Schuhen,Leipzig,4.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
695,Christoph Klarer,Leipzig,38.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
696,Janis Blaswich,Darmstadt 98,2.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
697,Chris Fuhrich,Union Berlin,1.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
698,Kevin Behrens,Stuttgart,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
699,Edmond Tapsoba,Wolfsburg,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
700,Florian Wirtz,Wolfsburg,2.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
701,Jonathan Tah,Wolfsburg,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
702,Callum Hudson-Odoi,Luton 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
703,Jeremy Doku,Brighton 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
704,Keane Lewis-Potter,Burnley,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
705,Nuno Tavares,Luton,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
706,Odsonne Edouard,Newcastle,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
707,Carlton Morris,Nottm Forest,24.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
708,Chris Wood,Luton,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
709,Divock Origi,Luton,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
710,Carlton Morris,Nottm Forest,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
711,Tom Lockyer,Nottm Forest,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
712,Marvelous Nakamba,Nottm Forest,3.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
713,Morgan Gibbs-White,Luton,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
714,Anthony Elanga,Luton,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
715,Callum Hudson-Odoi,Luton,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
716,Erling Haaland,Brighton,1.5,Goal + Assist,82,2023-10-21,2023-10-20 14:02:00
