,player,team,line,stat,league,date,time
817,Marcos Senesi,Wolves,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
818,Marcus Tavernier,Wolves,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
819,Antoine Semenyo,Wolves,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
820,Hamed Traore,Wolves,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
821,Nico Hischier,NYI,2.5,Shots On Goal,8,2023-10-20,2023-10-20 14:02:00
822,Nuno Tavares,Luton 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
823,Chris Wood,Luton 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
824,Joelinton,Crystal Palace,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
825,Anthony Elanga,Luton 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
826,Carlton Morris,Nottm Forest,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
827,Mathew Barzal,NJ,0.5,PTS,8,2023-10-20,2023-10-20 14:02:00
828,Achraf Hakimi,Strasbourg,92.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
829,Matz Sels,PSG,4.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
830,Dilane Bakwa,PSG,0.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
831,Gianluigi Donnarumma,Strasbourg,2.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
832,Goncalo Ramos,Strasbourg,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
833,Ousmane Dembele,Strasbourg,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
834,Lucas Perrin,PSG,33.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
835,Humanoid,BLG (MAP 1 Kills),2.0,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
836,Manuel Ugarte,Strasbourg,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
837,Vitinha,Strasbourg,1.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
838,Fabian Ruiz,Strasbourg,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
839,Lucas Hernandez,Strasbourg,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
840,Kylian Mbappe,Strasbourg,2.0,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
841,Ismael Doukoure,PSG,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
842,Mathew Barzal,NJ,2.0,Shots On Goal,8,2023-10-20,2023-10-20 14:02:00
843,Thomas Delaine,PSG,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
844,Milan Skriniar,Strasbourg,2.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
845,Gerzino Nyamsi,PSG,4.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
846,Kylian Mbappe,Strasbourg,4.0,Shots,82,2023-10-21,2023-10-20 14:02:00
847,Timo Meier,NYI,0.5,PTS,8,2023-10-20,2023-10-20 14:02:00
848,Antonio Sanabria,Inter,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
849,Timo Meier,NYI,3.0,Shots On Goal,8,2023-10-20,2023-10-20 14:02:00
850,Nicolo Barella,Torino,48.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
851,Hakan Calhanoglu,Torino,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
852,Vanja Milinkovic-Savic,Inter,3.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
853,Duvan Zapata,Inter,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
854,Lautaro Martinez,Torino,3.5,Shots,82,2023-10-21,2023-10-20 14:02:00
855,Noah,BLG (MAP 1 Kills),2.5,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
856,Yann Sommer,Torino,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
857,Alexis Sanchez,Torino,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
858,Antonio Sanabria,Inter,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
859,Nikola Vlasic,Inter,26.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
860,Jordan Poole,TOR,22.5,PTS,237,2023-10-20,2023-10-20 14:02:00
861,Alexis Sanchez,Torino,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
862,Hakan Calhanoglu,Torino,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
863,Marcus Thuram,Torino,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
864,Harry Kane,Mainz 05,3.5,Shots,82,2023-10-21,2023-10-20 14:02:00
865,Dodi Lukebakio,Real Madrid,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
866,Jude Bellingham,Sevilla,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
867,Erik Lamela,Real Madrid,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
868,Kiin,WBG (MAP 1 Kills),2.0,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
869,Antonio Rudiger,Sevilla,58.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
870,Vinicius Junior,Sevilla,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
871,Rafa Mir,Real Madrid,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
872,Joshua Kimmich,Mainz 05,2.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
873,O.G. Anunoby,WAS,14.5,PTS,237,2023-10-20,2023-10-20 14:02:00
874,Erik Lamela,Real Madrid,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
875,Bojan Bogdanovic,2023-2024 Season,7.5,30+ Point Games,173,2023-10-25,2023-10-20 14:02:00
876,Robert Sanchez,Arsenal,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
877,Lucas Ocampos,Real Madrid,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
878,Joselu,Sevilla,3.0,Shots,82,2023-10-21,2023-10-20 14:02:00
879,Aurelien Tchouameni,Sevilla,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
880,Noah Dobson,NJ,2.5,Shots On Goal,8,2023-10-20,2023-10-20 14:02:00
881,Lucas Ocampos,Real Madrid,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
882,Kingsley Coman,Mainz 05,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
883,Ivan Rakitic,Real Madrid,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
884,Rodrygo,Sevilla,3.0,Shots,82,2023-10-21,2023-10-20 14:02:00
885,Leon Goretzka,Mainz 05,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
886,Stefan Bell,Bayern München,32.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
887,Konrad Laimer,Mainz 05,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
888,Dominik Kohr,Bayern München,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
889,Sepp van den Berg,Bayern München,4.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
890,Bojan Bogdanovic,2023-2024 Season,19.7,Points Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
891,Thiago Silva,Arsenal,4.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
892,Ludovic Ajorque,Bayern München,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
893,Jae-Sung Lee,Bayern München,0.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
894,Gabriel Magalhaes,Chelsea,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
895,Leandro Trossard,Chelsea,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
896,Kim Min-Jae,Mainz 05,2.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
897,Leon Goretzka,Mainz 05,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
898,Sven Ulreich,Mainz 05,2.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
899,Anthony Caci,Bayern München,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
900,Kingsley Coman,Mainz 05,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
901,Raheem Sterling,Arsenal,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
902,Cole Palmer,Arsenal,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
903,Armando Broja,Arsenal,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
904,Axel Disasi,Arsenal,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
905,Gabriel Martinelli,Chelsea,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
906,Bukayo Saka,Chelsea,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
907,Eddie Nketiah,Chelsea,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
908,Martin Odegaard,Chelsea,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
909,David Raya,Chelsea,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
910,Ludovic Ajorque,Bayern München,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
911,Jamal Musiala,Mainz 05,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
912,Robin Zentner,Bayern München,4.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
913,Leroy Sane,Mainz 05,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
914,Alphonso Davies,Mainz 05,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
915,Harry Kane,Mainz 05,1.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
916,Alphonso Davies,Mainz 05,66.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
917,Gabriel Jesus,Chelsea,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
918,Nicolas Jackson,Arsenal,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
919,Youssef En-Nesyri,Real Madrid,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
920,Antonio Rudiger,Sevilla,3.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
921,Armando Broja,Arsenal,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
922,Leandro Trossard,Chelsea,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
923,Conor Gallagher,Arsenal,2.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
924,Oleksandr Zinchenko,Chelsea,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
925,Raheem Sterling,Arsenal,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
926,Declan Rice,Chelsea,2.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
927,Martin Odegaard,Chelsea,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
928,Cole Palmer,Arsenal,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
929,Thiago Silva,Arsenal,66.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
930,Martin Odegaard,Chelsea,39.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
931,Gabriel Martinelli,Chelsea,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
932,Bukayo Saka,Chelsea,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
933,Moises Caicedo,Arsenal,1.5,Fouls,82,2023-10-21,2023-10-20 14:02:00
934,Dodi Lukebakio,Real Madrid,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
935,Orjan Nyland,Real Madrid,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
936,Federico Valverde,Sevilla,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
937,Youssef En-Nesyri,Real Madrid,9.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
938,Kepa,Sevilla,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
939,Cade Cunningham,2023-2024 Season,21.4,Points Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
940,Alessio Romagnoli,Sassuolo,59.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
941,Domenico Berardi,Lazio,3.0,Shots,82,2023-10-21,2023-10-20 14:02:00
942,Valentin Castellanos,Sassuolo,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
943,Andrea Pinamonti,Lazio,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
944,Tyler Toffoli,NYI,3.0,Shots On Goal,8,2023-10-20,2023-10-20 14:02:00
945,Cuzz,WBG (MAP 1 Kills),2.0,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
946,Ivan Provedel,Sassuolo,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
947,Cade Cunningham,2023-2024 Season,6.2,Assists Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
948,Gustav Isaksen,Sassuolo,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
949,Luis Alberto,Sassuolo,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
950,Jimmy Butler,2023-2024 Season,1.5,Triple-Doubles,173,2023-10-25,2023-10-20 14:02:00
951,Andrea Pinamonti,Lazio,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
952,Martin Erlic,Lazio,4.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
953,Ciro Immobile,Sassuolo,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
954,Cade Cunningham,2023-2024 Season,8.5,30+ Point Games,173,2023-10-25,2023-10-20 14:02:00
955,Nicolo Casale,Sassuolo,2.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
956,Kyle Kuzma,TOR,19.5,PTS,237,2023-10-20,2023-10-20 14:02:00
957,Andrea Consigli,Lazio,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
958,Jimmy Butler,2023-2024 Season,3.5,Technical Fouls,173,2023-10-25,2023-10-20 14:02:00
959,Domenico Berardi,Lazio,32.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
960,Armand Lauriente,Lazio,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
961,Bdd,WBG (MAP 1 Kills),3.0,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
962,Oliver McBurnie,Man Utd,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
963,Ismaila Sarr,Nice,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
964,Christian Eriksen,Sheff Utd,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
965,Antony,Sheff Utd,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
966,Vitinha,Nice,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
967,Christian Eriksen,Sheff Utd,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
968,Ivan Villar,Atlético,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
969,Jan Oblak,Celta Vigo,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
970,Dennis Schroder,WAS,13.5,PTS,237,2023-10-20,2023-10-20 14:02:00
971,Dante,Marseille,3.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
972,Gaetan Laborde,Marseille,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
973,Terem Moffi,Marseille,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
974,Morgan Sanson,Marseille,37.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
975,Marcin Bulka,Marseille,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
976,Unai Nunez,Atlético,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
977,Angel Correa,Celta Vigo,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
978,Angel Correa,Celta Vigo,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
979,Casemiro,Sheff Utd,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
980,Anthony Martial,Sheff Utd,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
981,Rhian Brewster,Man Utd,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
982,Youssouf Ndayishimiye,Marseille,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
983,Hicham Boudaoui,Marseille,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
984,Valentin Rongier,Nice,0.5,Shots,82,2023-10-21,2023-10-20 14:02:00
985,Jordan Veretout,Nice,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
986,Renan Lodi,Nice,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
987,Chancel Mbemba,Nice,4.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
988,Leonardo Balerdi,Nice,48.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
989,Pau Lopez,Nice,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
990,Melvin Bard,Marseille,0.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
991,Mason Mount,Sheff Utd,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
992,Antoine Griezmann,Celta Vigo,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
993,Rasmus Hojlund,Sheff Utd,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
994,Alvaro Morata,Celta Vigo,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
995,Gustavo Hamer,Man Utd,32.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
996,Iago Aspas,Atlético,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
997,Amine Harit,Nice,1.5,Shots Assisted,82,2023-10-21,2023-10-20 14:02:00
998,Antoine Griezmann,Celta Vigo,43.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
999,Bruno Fernandes,Sheff Utd,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
1000,Rodrigo De Paul,Celta Vigo,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
1001,Bruno Fernandes,Sheff Utd,59.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
1002,Marcus Rashford,Sheff Utd,1.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
1003,Cameron Archer,Man Utd,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
1004,Jonathan Bamba,Atlético,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
1005,Cameron Archer,Man Utd,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
1006,Gustavo Hamer,Man Utd,1.5,Tackles,82,2023-10-21,2023-10-20 14:02:00
1007,Andre Onana,Sheff Utd,2.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
1008,Tasos Douvikas,Atlético,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
1009,Jeremie Boga,Marseille,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
1010,Unai Nunez,Atlético,55.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
1011,Jordan Lotomba,Marseille,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
1012,Marcus Rashford,Sheff Utd,3.0,Shots,82,2023-10-21,2023-10-20 14:02:00
1013,Wes Foderingham,Man Utd,4.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
1014,Aiming,WBG (MAP 1 Kills),5.5,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
1015,Daniel Gafford,TOR,10.5,PTS,237,2023-10-20,2023-10-20 14:02:00
1016,Scottie Barnes,WAS,15.5,PTS,237,2023-10-20,2023-10-20 14:02:00
1017,TheShy,KT (MAP 1 Kills),2.0,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
1018,Nic Claxton,2023-2024 Season,9.5,Rebounds Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
1019,Weiwei,KT (MAP 1 Kills),2.0,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
1020,Tyus Jones,TOR,12.5,PTS,237,2023-10-20,2023-10-20 14:02:00
1021,Pascal Siakam,WAS,19.5,PTS,237,2023-10-20,2023-10-20 14:02:00
1022,Xiaohu,KT (MAP 1 Kills),3.5,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
1023,Light,KT (MAP 1 Kills),4.5,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
1024,Kristaps Porzingis,2023-2024 Season,18.9,Points Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
1025,Kristaps Porzingis,2023-2024 Season,8.0,Rebounds Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
1026,Summit,GAM (MAPS 1-2 Kills),6.0,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1027,ninebody,Rare Atom (MAPS 1-2 Kills),35.5,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1028,Jared Goff + Lamar Jackson,BAL/DET,461.5,Pass Yards (Combo),9,2023-10-22,2023-10-20 14:02:00
1029,Jared Goff,BAL,0.5,INT,9,2023-10-22,2023-10-20 14:02:00
1030,Pyosik,GAM (MAPS 1-2 Kills),7.0,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1031,Arteezy,TSM (MAPS 1-2 Kills),14.0,MAPS 1-2 Kills,174,2023-10-21,2023-10-20 14:02:00
1032,Jared Goff,BAL,244.5,Pass Yards,9,2023-10-22,2023-10-20 14:02:00
1033,Lamar Jackson,DET,219.5,Pass Yards,9,2023-10-22,2023-10-20 14:02:00
1034,Karl-Anthony Towns,2023-2024 Season,22.0,Points Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
1035,Abed,TSM (MAPS 1-2 Kills),16.5,MAPS 1-2 Kills,174,2023-10-21,2023-10-20 14:02:00
1036,Abo,Rare Atom (MAPS 1-2 Kills),30.0,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1037,Lamar Jackson,DET,277.5,Pass+Rush Yds,9,2023-10-22,2023-10-20 14:02:00
1038,Lamar Jackson,DET,0.5,INT,9,2023-10-22,2023-10-20 14:02:00
1039,Karl-Anthony Towns,2023-2024 Season,9.5,30+ Point Games,173,2023-10-25,2023-10-20 14:02:00
1040,Kyle Anderson ,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25,2023-10-20 14:02:00
1041,Lamar Jackson,DET,54.5,Rush Yards,9,2023-10-22,2023-10-20 14:02:00
1042,APA,GAM (MAPS 1-2 Kills),6.5,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1043,Jack Fox,BAL,4.0,Punts,9,2023-10-22,2023-10-20 14:02:00
1044,Anthony Edwards,2023-2024 Season,20.5,30+ Point Games,173,2023-10-25,2023-10-20 14:02:00
1045,Timado,SR (MAPS 1-2 Kills),12.5,MAPS 1-2 Kills,174,2023-10-21,2023-10-20 14:02:00
1046,ICEKING,Rare Atom (MAPS 1-2 Kills),27.5,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1047,Anthony Edwards,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25,2023-10-20 14:02:00
1048,Rudy Gobert,2023-2024 Season,11.6,Rebounds Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
1049,Anthony Edwards,2023-2024 Season,7.5,Technical Fouls,173,2023-10-25,2023-10-20 14:02:00
1050,Anthony Edwards,2023-2024 Season,26.0,Points Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
1051,Anthony Edwards,2023-2024 Season,2.9,3PT Made Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
1052,Jordan Stout,DET,3.5,Punts,9,2023-10-22,2023-10-20 14:02:00
1053,Yeon,GAM (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1054,LuoK1ng,Rare Atom (MAPS 1-2 Kills),25.5,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1055,Bryle,SR (MAPS 1-2 Kills),13.5,MAPS 1-2 Kills,174,2023-10-21,2023-10-20 14:02:00
1056,Kiaya,TL (MAPS 1-2 Kills),4.0,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1057,Gus Edwards,DET,44.5,Rush Yards,9,2023-10-22,2023-10-20 14:02:00
1058,Bam Adebayo,2023-2024 Season,9.3,Rebounds Per Game AVG,173,2023-10-25,2023-10-20 14:02:00
1059,Levi,TL (MAPS 1-2 Kills),4.0,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1060,dyrachyo,EG (MAPS 1-2 Kills),14.5,MAPS 1-2 Kills,174,2023-10-21,2023-10-20 14:02:00
1061,stew,TYLOO (MAPS 1-2 Kills),36.5,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1062,Justice Hill,DET,28.5,Rush Yards,9,2023-10-22,2023-10-20 14:02:00
1063,YiHao,TYLOO (MAPS 1-2 Kills),32.0,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1064,Kati,TL (MAPS 1-2 Kills),5.0,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1065,Pascal Siakam,2023-2024 Season,15.5,30+ Point Games,173,2023-10-25,2023-10-20 14:02:00
1066,Quinn,EG (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-10-21,2023-10-20 14:02:00
1067,Pascal Siakam,2023-2024 Season,1.5,Triple-Doubles,173,2023-10-25,2023-10-20 14:02:00
1068,Lamar Jackson,DET,1.5,Pass+Rush+Rec TDs,9,2023-10-22,2023-10-20 14:02:00
1069,Slayder,TL (MAPS 1-2 Kills),7.0,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1070,Viva,TYLOO (MAPS 1-2 Kills),30.5,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1071,Chris Luck,GG (MAPS 1-2 Kills),9.5,MAPS 1-2 Kills,174,2023-10-21,2023-10-20 14:02:00
1072,Pakazs,GG (MAPS 1-2 Kills),12.0,MAPS 1-2 Kills,174,2023-10-21,2023-10-20 14:02:00
1073,Canna,BDS (MAPS 1-2 Kills),5.0,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1074,Lamar Jackson + Odell Beckham Jr.,DET,0.5,Rush+Rec TDs (Combo),9,2023-10-22,2023-10-20 14:02:00
1075,yoman,TYLOO (MAPS 1-2 Kills),29.5,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1076,Canyon,BDS (MAPS 1-2 Kills),3.5,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1077,Life,FunPlus Phoenix (MAPS 1-2 Kills),35.5,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1078,Mark Andrews + Sam LaPorta,DET/BAL,0.5,Rush+Rec TDs (Combo),9,2023-10-22,2023-10-20 14:02:00
1079,Nightfall,KStars (MAPS 1-2 Kills),16.5,MAPS 1-2 Kills,174,2023-10-22,2023-10-20 14:02:00
1080,ShowMaker,BDS (MAPS 1-2 Kills),7.5,MAPS 1-2 Kills,121,2023-10-23,2023-10-20 14:02:00
1081,Amon-Ra St Brown + Justice Hill,BAL/DET,0.5,Rush+Rec TDs (Combo),9,2023-10-22,2023-10-20 14:02:00
1082,Yuicaw,FunPlus Phoenix (MAPS 1-2 Kills),34.5,MAPS 1-2 Kills,159,2023-10-21,2023-10-20 14:02:00
1083,gpk~,KStars (MAPS 1-2 Kills),16.0,MAPS 1-2 Kills,174,2023-10-22,2023-10-20 14:02:00
1084,Nelson Agholor,DET,22.5,Receiving Yards,9,2023-10-22,2023-10-20 14:02:00
1085,Fred VanVleet,MIA,14.5,PTS,237,2023-10-20,2023-10-20 14:02:00
1086,Costabile,BB (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,174,2023-10-22,2023-10-20 14:02:00
