,player,opp,line,stat,league,date,scrape_time
167,Tom Kim,TPC Summerlin  RD 1,67.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
168,Facundo Campazzo,Anadolu Efes Istanbul,13.5,PTS,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
169,Kelsey Plum,NYL,7.5,FG Missed,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
170,Kachow,MLT Esports GC (MAPS 1-2 Kills),30.5,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
171,Kelsey Plum,NYL,14.0,FGA,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
172,R. Bopanna/M. Ebden,M. Arevalo/J. Rojer (Shanghai),10.0,1st Set - Total Games,244,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
173,Justin Robinson,Tasmania JackJumpers,4.5,AST,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
174,Justin Robinson,Tasmania JackJumpers,15.5,PTS,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
175,Luke List,RD1,14.5,Greens In Regulation,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
176,Kelsey Plum,NYL,25.5,PTS+TRB+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
177,Kelsey Plum,NYL,3.5,FT,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
178,Cameron Davis,TPC Summerlin  RD 1,5.0,Birdies Or Better,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
179,Kelsey Plum,NYL,23.0,PTS+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
180,R. Bopanna/M. Ebden,M. Arevalo/J. Rojer (Shanghai),1.5,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
181,Kenneth Walker III,Weeks 6-9,274.5,Rush Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
182,Aaron Rai,RD1,10.0,Fairways Hit,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
183,Kelsey Plum,NYL 1st Half,9.5,PTS,193,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
