,player,opp,line,stat,league,date,scrape_time
478,Miguel Almiron,Argentina,0.5,Shots Assisted,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
479,Felix Torres,Bolivia,3.0,Clearances,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
480,Betnijah Laney,LVA,13.5,FGA,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
481,Alex Fitzpatrick,RD1,69.0,Strokes,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
482,Betnijah Laney,LVA,4.5,3PA,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
483,Carlos Gruezo,Bolivia,54.5,Passes Attempted,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
484,Betnijah Laney,LVA 1st Half,7.5,PTS,193,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
485,Chris Paul,2023-2024 Season,0.5,30+ Point Games,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
486,Luke Kornet,PHI,2.5,PTS,237,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
487,Gustavo Gomez,Argentina,4.5,Clearances,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
488,Robert Rojas,Argentina,1.5,Tackles,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
489,Martina Trevisan,M. Frech (Hong Kong),0.5,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
490,Betnijah Laney,LVA 1st Half,11.5,PTS+TRB+AST,193,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
491,Nicolas Otamendi,Paraguay,0.5,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
492,Alex Fitzpatrick,Gavin Green,0.0,Birdies or Better Matchup,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
493,Betnijah Laney,LVA,6.5,FG,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
494,Fabian Balbuena,Argentina,29.5,Passes Attempted,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
495,Ante Zizic,Real Madrid,4.5,TRB,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
496,Betnijah Laney,LVA,7.5,FG Missed,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
497,Emiliano Grillo,Taylor Pendrith,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
498,Alexis Mac Allister,Paraguay,0.5,Shots On Target,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
499,Alexis Mac Allister,Paraguay,1.5,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
500,Enzo Fernandez,Paraguay,2.0,Tackles,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
501,Knight~,BB (MAPS 1-2 Kills),10.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
502,Nicolas Gonzalez,Paraguay,2.5,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
503,magixx,Looking4Org,13.0,MAP 3 Kills,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
504,Kayvon Thibodeaux,Weeks 6-9,1.75,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
505,Betnijah Laney,LVA,15.5,PTS,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
506,Martina Trevisan,M. Frech (Hong Kong),5.0,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
507,Rodrigo Ramallo,Ecuador,0.5,Shots Assisted,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
508,Enner Valencia,Bolivia,2.5,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
509,Javonte Williams + Rashee Rice,KC/DEN,0.5,Rush+Rec TDs (Combo),9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
510,Moises Caicedo,Bolivia,2.0,Tackles,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
511,Rodrigo De Paul,Paraguay,1.5,Shots Assisted,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
512,Betnijah Laney,LVA,22.5,PTS+TRB+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
513,Ante Zizic,Real Madrid,8.5,PTS,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
514,Sara Sorribes Tormo,Xin. Wang (Hong Kong),21.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
515,Bradley Beal,2023-2024 Season,20.8,Points Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
516,Chase Young,Weeks 6-9,1.75,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
517,Adam Hadwin,TPC Summerlin  RD 1,68.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
518,Kevon Looney,2023-2024 Season,9.1,Rebounds Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
519,Russell Wilson,KC,244.5,Pass+Rush Yds,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
520,Rafa Cabrera-Bello,RD1,69.5,Strokes,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
521,Sergio Llull,Anadolu Efes Istanbul,7.5,PTS,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
522,Russell Wilson,KC,19.5,Rush Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
523,Meow16k,SCYTHE NWJ (MAPS 1-2 Kills),28.5,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
524,SLATEM$,BB (MAPS 1-2 Kills),10.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
525,chopper,Looking4Org,13.5,MAP 3 Kills,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
526,Russell Wilson,KC,20.5,Pass Completions,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
527,Russell Wilson,KC,32.0,Pass Attempts,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
528,Sergio Llull,Anadolu Efes Istanbul,1.5,3P,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
529,Sara Sorribes Tormo,Xin. Wang (Hong Kong),5.0,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
530,Jalen Hurts,Weeks 6-9,165.5,Rush Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
531,Bradley Beal,2023-2024 Season,8.5,30+ Point Games,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
532,Sebastian Aho,2023-2024 Season,36.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
533,Rafa Cabrera-Bello,Jamie Donaldson,0.0,Birdies or Better Matchup,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
534,Russell Wilson,KC,0.5,INT,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
535,Russell Wilson,KC,219.5,Pass Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
536,Brandon Pfaadt,LAD,3.5,Pitcher Strikeouts,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
537,Elise Mertens,S. Lansere (Hong Kong),18.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
538,Adam Schenk,Seonghyeon Kim,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
539,muffinloop,SCYTHE NWJ (MAPS 1-2 Kills),32.0,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
540,Elise Mertens,S. Lansere (Hong Kong),5.0,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
541,Lamelo Ball,2023-2024 Season,4.5,Triple-Doubles,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
542,Jadeveon Clowney,Weeks 6-9,1.5,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
543,Patrick Mahomes,Weeks 6-9,95.5,Rush Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
544,Patrick Mahomes,DEN,268.5,Pass Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
545,Lamelo Ball,2023-2024 Season,4.0,3PT Made Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
546,Lamelo Ball,2023-2024 Season,23.7,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
547,Nightfall,Thunder (MAPS 1-2 Kills),18.5,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
548,Lamelo Ball,2023-2024 Season,12.5,30+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
549,Djoko,Spirit,9.0,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
550,John Tavares,2023-2024 Season,30.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
551,Adam Schenk,TPC Summerlin  RD 1,68.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
552,Elise Mertens,S. Lansere (Hong Kong),2.5,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
553,Lamelo Ball,2023-2024 Season,8.7,Assists Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
554,Patrick Mahomes,DEN,0.5,INT,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
555,Trae Young,2023-2024 Season,9.9,Assists Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
556,Trae Young,2023-2024 Season,26.1,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
557,Maka,Spirit,6.0,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
558,Lance Lynn,ARI,4.0,Hits Allowed,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
559,Lance Lynn,ARI,12.0,Pitching Outs,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
560,Isiah Pacheco,DEN,12.5,Receiving Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
561,Trae Young,2023-2024 Season,20.5,30+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
562,Trae Young,2023-2024 Season,11.5,Technical Fouls,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
563,Lucas Herbert,TPC Summerlin  RD 1,68.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
564,Lucas Herbert,Nate Lashley,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
565,Isiah Pacheco,DEN,75.5,Rush Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
566,David Pastrnak,2023-2024 Season,47.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
567,Trae Young,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
568,Rose,SCYTHE NWJ (MAPS 1-2 Kills),24.5,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
569,Bradley Chubb,Weeks 6-9,1.5,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
570,Isiah Pacheco,DEN,91.5,Rush+Rec Yds,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
571,Beatriz Haddad Maia,A. Pavlyuchenkova (Hong Kong),4.0,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
572,Beatriz Haddad Maia,A. Pavlyuchenkova (Hong Kong),21.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
573,gpk~,Thunder (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
574,Isiah Pacheco,DEN,16.5,Rush Attempts,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
575,Trae Young,2023-2024 Season,2.4,3PT Made Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
576,Beatriz Haddad Maia,A. Pavlyuchenkova (Hong Kong),2.5,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
577,Cameron Jordan,Weeks 6-9,1.25,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
578,J.J. Spaun,TPC Summerlin  RD 1,68.5,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
579,Connor McDavid,2023-2024 Season,55.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
580,hAdji,Spirit,7.5,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
581,Edouard Julien,HOU,0.5,Total Bases,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
582,J.J. Spaun,Kyounghoon Lee,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
583,Brandon Miller ,2023-2024 Season,14.3,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
584,KiRi,SCYTHE NWJ (MAPS 1-2 Kills),26.5,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
585,shiro,GG (MAPS 1-2 Kills),11.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
586,Linda Fruhvirtova,A. Korneeva (Hong Kong),3.0,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
587,Linda Fruhvirtova,A. Korneeva (Hong Kong),4.5,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
588,Linda Fruhvirtova,A. Korneeva (Hong Kong),21.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
589,George Karlaftis,Weeks 6-9,1.75,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
590,Terry Rozier,2023-2024 Season,20.1,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
591,Mirra Andreeva,L. Fernandez (Hong Kong),4.5,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
592,Yordan Alvarez,MIN,1.5,Total Bases,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
593,Jerick McKinnon,DEN,13.5,Receiving Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
594,Mirra Andreeva,L. Fernandez (Hong Kong),21.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
595,oreopheliaa,Global Esports Phoenix (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
596,Mirra Andreeva,L. Fernandez (Hong Kong),1.5,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
597,Terry Rozier,2023-2024 Season,2.5,Double-Doubles,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
598,Lucky,Spirit,6.0,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
599,NothingToSay,GG (MAPS 1-2 Kills),11.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
600,Jerick McKinnon,DEN,24.5,Rush+Rec Yds,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
601,Aaron Rai,Mark Hubbard,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
602,Jerick McKinnon,DEN,8.5,Rush Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
603,Elias Pettersson,2023-2024 Season,35.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
604,Aaron Rai,TPC Summerlin  RD 1,68.5,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
605,Jordan Poole,2023-2024 Season,24.4,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
606,Leon Draisaitl,2023-2024 Season,50.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
607,dyrachyo,LGD (MAPS 1-2 Kills),14.5,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
608,crescents,Global Esports Phoenix (MAPS 1-2 Kills),32.5,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
609,Gabriel Davis,Weeks 6-9,13.5,Receptions,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
610,Liudmila Samsonova,L. Siegemund (Zhengzhou),20.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
611,Liudmila Samsonova,L. Siegemund (Zhengzhou),4.5,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
612,Ex3rcice,Spirit,7.0,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
613,Tyus Jones,2023-2024 Season,6.9,Assists Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
614,Jordan Poole,2023-2024 Season,3.1,3PT Made Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
615,Fred VanVleet,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
616,Jordan Poole,2023-2024 Season,8.5,Technical Fouls,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
617,Jordan Poole,2023-2024 Season,15.5,30+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
618,Liudmila Samsonova,L. Siegemund (Zhengzhou),5.5,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
619,Tom Hoge,TPC Summerlin  RD 1,68.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
620,Luke List,Nick Taylor,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
621,Tyrese Haliburton,2023-2024 Season,9.9,Assists Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
622,Tyrese Haliburton,2023-2024 Season,1.5,Technical Fouls,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
623,Javonte Williams,KC,10.5,Receiving Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
624,Nathan MacKinnon,2023-2024 Season,39.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
625,Luke List,TPC Summerlin  RD 1,68.5,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
626,donk,Looking4Org,11.5,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
627,Mitchell Robinson,2023-2024 Season,17.5,Double-Doubles,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
628,Quinn,LGD (MAPS 1-2 Kills),15.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
629,Javonte Williams,KC,35.5,Rush Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
630,Ons Jabeur,L. Bronzetti (Zhengzhou),20.0,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
631,Ons Jabeur,L. Bronzetti (Zhengzhou),5.0,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
632,Ons Jabeur,L. Bronzetti (Zhengzhou),3.5,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
633,Tyrese Haliburton,2023-2024 Season,21.2,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
634,skyelyse,Global Esports Phoenix (MAPS 1-2 Kills),33.0,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
635,Tyrese Haliburton,2023-2024 Season,8.5,30+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
636,Kyle Kuzma,2023-2024 Season,21.5,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
637,yaamoriY,Global Esports Phoenix (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
638,Kyle Kuzma,2023-2024 Season,0.5,Technical Fouls,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
639,Daria Kasatkina,Z. Bai (Zhengzhou),5.5,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
640,Daria Kasatkina,Z. Bai (Zhengzhou),0.5,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
641,Kevin Fiala,2023-2024 Season,26.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
642,Beau Hossler,TPC Summerlin  RD 1,68.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
643,Daria Kasatkina,Z. Bai (Zhengzhou),19.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
644,ArtFr0st,Looking4Org,4.0,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
645,Timado,Tundra (MAPS 1-2 Kills),11.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
646,Kyle Kuzma,2023-2024 Season,9.5,30+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
647,Christiaan Bezuidenhout,TPC Summerlin  RD 1,4.5,Birdies Or Better,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
648,Mikko Rantanen,2023-2024 Season,44.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
649,Jalen Brunson,2023-2024 Season,14.5,30+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
650,zont1x,Looking4Org,6.5,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
651,Jalen Brunson,2023-2024 Season,7.5,Double-Doubles,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
652,Christiaan Bezuidenhout,TPC Summerlin  RD 1,68.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
653,Brandon Johnson,KC,13.5,Receiving Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
654,Barbora Krejcikova,P. Martic (Zhengzhou),21.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
655,Rudy Gobert,2023-2024 Season,7.5,Technical Fouls,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
656,Jalen Brunson,2023-2024 Season,6.1,Assists Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
657,Barbora Krejcikova,P. Martic (Zhengzhou),4.0,Aces,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
658,Christiaan Bezuidenhout,Austin Smotherman,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
659,Barbora Krejcikova,P. Martic (Zhengzhou),4.0,Break Points Won,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
660,Jalen Brunson,2023-2024 Season,24.4,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
661,Bryle,Tundra (MAPS 1-2 Kills),12.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
662,Julius Randle,2023-2024 Season,24.3,Points Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
663,magixx,Looking4Org,6.0,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
664,Kyle Connor,2023-2024 Season,36.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
665,Webb Simpson,TPC Summerlin  RD 1,68.5,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
666,Julius Randle,2023-2024 Season,14.5,30+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
667,Julius Randle,2023-2024 Season,10.0,Rebounds Per Game AVG,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
668,Julius Randle,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
669,Julius Randle,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
670,Julius Randle,2023-2024 Season,10.5,Technical Fouls,173,2023-10-25 00:00:00-05:00,2023-10-11 14:27:00-05:00
671,Webb Simpson,TPC Summerlin  RD 1,4.5,Birdies Or Better,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
672,skiter,TSM (MAPS 1-2 Kills),14.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
673,chopper,Looking4Org,8.0,MAP 3 Headshots,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
674,Stewart Cink,TPC Summerlin  RD 1,4.5,Birdies Or Better,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
675,A'ja Wilson + Kelsey Plum,NYL,41.5,Points (Combo),3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
676,Elias Lindholm,2023-2024 Season,28.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
677,Anthony Davis,SAC,14.5,PTS,237,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
678,Stewart Cink,Joel Dahmen,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
679,Travis Kelce,DEN,67.5,Receiving Yards,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
680,Topson,TSM (MAPS 1-2 Kills),18.5,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
