,game_id,team_id,team_abbreviation,team_city,player_id,player_name,nickname,start_position,comment,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,to,pf,pts,plus_minus
0,0022200002,1610612747,LAL,Los Angeles,1629022,Lonnie Walker IV,Lonnie,F,,29.000000:17,2.0,7.0,0.286,0.0,3.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,5.0,1.0,1.0,2.0,0.0,5.0,-13.0
1,0022200002,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,F,,35.000000:12,12.0,26.0,0.462,3.0,10.0,0.3,4.0,4.0,1.0,5.0,10.0,15.0,8.0,0.0,0.0,5.0,2.0,31.0,-10.0
2,0022200002,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,,35.000000:36,10.0,22.0,0.455,0.0,3.0,0.0,7.0,9.0,0.778,0.0,6.0,6.0,0.0,4.0,1.0,3.0,2.0,27.0,-21.0
3,0022200002,1610612747,LAL,Los Angeles,201566,Russell Westbrook,Russell,G,,30.000000:41,7.0,12.0,0.583,1.0,3.0,0.333,4.0,5.0,0.8,1.0,10.0,11.0,3.0,1.0,0.0,4.0,1.0,19.0,-6.0
4,0022200002,1610612747,LAL,Los Angeles,201976,Patrick Beverley,Patrick,G,,24.000000:40,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,3.0,-5.0
5,0022200002,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,,,16.000000:00,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,-6.0
6,0022200002,1610612747,LAL,Los Angeles,1629134,Kendrick Nunn,Kendrick,,,23.000000:03,5.0,9.0,0.556,3.0,6.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,2.0,13.0,-19.0
7,0022200002,1610612747,LAL,Los Angeles,1629308,Juan Toscano-Anderson,Juan,,,14.000000:18,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
8,0022200002,1610612747,LAL,Los Angeles,1629117,Wenyen Gabriel,Wenyen,,,7.000000:48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
9,0022200002,1610612747,LAL,Los Angeles,1630346,Matt Ryan,Matt,,,17.000000:49,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0
10,0022200002,1610612747,LAL,Los Angeles,1631306,Cole Swider,Cole,,,1.000000:52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
11,0022200002,1610612747,LAL,Los Angeles,1630590,Scotty Pippen Jr.,Scotty,,,1.000000:52,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
12,0022200002,1610612747,LAL,Los Angeles,1631108,Max Christie,Max,,,1.000000:52,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
13,0022200002,1610612747,LAL,Los Angeles,1627745,Damian Jones,Damian,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
14,0022200002,1610612744,GSW,Golden State,203952,Andrew Wiggins,Andrew,F,,29.000000:28,8.0,14.0,0.571,4.0,7.0,0.571,0.0,0.0,0.0,1.0,5.0,6.0,4.0,1.0,1.0,1.0,5.0,20.0,25.0
15,0022200002,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,F,,24.000000:41,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,4.0,12.0
16,0022200002,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,C,,21.000000:08,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,0.0,0.0,2.0,7.0,30.0
17,0022200002,1610612744,GSW,Golden State,202691,Klay Thompson,Klay,G,,19.000000:39,6.0,13.0,0.462,2.0,6.0,0.333,4.0,5.0,0.8,0.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,18.0,11.0
18,0022200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:48,10.0,22.0,0.455,4.0,13.0,0.308,9.0,9.0,1.0,1.0,5.0,6.0,7.0,4.0,1.0,4.0,1.0,33.0,20.0
19,0022200002,1610612744,GSW,Golden State,1629673,Jordan Poole,Jordan,,,28.000000:11,4.0,15.0,0.267,2.0,9.0,0.222,2.0,2.0,1.0,0.0,2.0,2.0,7.0,2.0,0.0,4.0,2.0,12.0,1.0
20,0022200002,1610612744,GSW,Golden State,1630164,James Wiseman,James,,,16.000000:31,4.0,6.0,0.667,0.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,7.0,0.0,0.0,1.0,0.0,2.0,8.0,-11.0
